date,open,high,low,close,avgPrice,volume,money,trans_num,possitive_buy_large_vol,possitive_sell_large_vol,possitive_buy_main_vol,possitive_sell_main_vol,possitive_buy_middle_vol,possitive_sell_middle_vol
2023-01-03 ,392.0,392.0,392.0,392.0,392.0,60300.0,23637600.0,295.0,17600.0,7600.0,8000.0,900.0,6800.0,6800.0
2023-01-03 ,390.89,,382.17,382.69,386.679773,253904.0,98179541.12,,16500.0,37700.0,25796.0,42104.0,35296.0,53300.0
2023-01-03 ,383.02,384.56,381.72,384.5,383.034956,237196.0,90854359.48,1234.0,,27700.0,18900.0,16700.0,29300.0,27797.0
2023-01-03 ,384.82,386.25,384.82,385.88,385.757037,162000.0,62492640.0,951.0,,14900.0,14600.0,10600.0,22900.0,27600.0
2023-01-03 ,386.14,387.4,385.94,386.4,386.393027,161900.0,62557031.0,815.0,,,10100.0,9400.0,16500.0,22800.0
2023-01-03 ,386.97,387.76,386.01,,,137000.0,53025407.0,716.0,28800.0,23800.0,5800.0,15200.0,13700.0,
2023-01-03 ,386.0,387.86,385.02,387.51,386.636684,95600.0,36962467.0,614.0,12400.0,6200.0,5000.0,8200.0,15600.0,15900.0
2023-01-03 ,387.52,387.52,386.0,387.0,386.552483,119200.0,46077056.0,596.0,10500.0,,,10400.0,8600.0,22600.0
2023-01-03 ,,,386.1,386.43,386.59728,115800.0,44767965.0,570.0,29300.0,8200.0,8900.0,5200.0,7900.0,19800.0
2023-01-03 ,386.85,387.5,386.27,387.42,386.888842,71700.0,,375.0,1600.0,23300.0,5800.0,,,
2023-01-03 ,387.24,387.94,387.0,387.94,,80700.0,,467.0,10900.0,16200.0,5000.0,4400.0,5600.0,14800.0
2023-01-03 ,387.99,387.99,386.61,386.9,387.203817,87500.0,33880334.0,553.0,5000.0,15400.0,7100.0,13600.0,10300.0,22200.0
2023-01-03 ,387.01,388.0,387.01,387.99,387.619494,88364.0,,446.0,5400.0,20100.0,2500.0,,7470.0,12800.0
2023-01-03 ,388.0,388.0,387.1,387.54,387.683459,46490.0,18023404.0,322.0,1900.0,1910.0,,,4700.0,12090.0
2023-01-03 ,387.84,,387.53,388.23,387.941109,63100.0,24479084.0,334.0,2900.0,14000.0,4900.0,,8500.0,9200.0
2023-01-03 ,,388.93,388.0,388.93,388.402533,83300.0,32353931.0,331.0,5500.0,43400.0,6700.0,2500.0,7300.0,4800.0
2023-01-03 ,388.9,,388.84,389.6,388.960991,,33911175.08,360.0,,33500.0,11700.0,5600.0,5500.0,8600.0
2023-01-03 ,389.8,389.8,388.01,388.01,388.82211,62100.0,24145853.0,385.0,12000.0,,4400.0,5100.0,5200.0,10900.0
2023-01-03 ,387.83,,386.97,386.97,387.349026,39000.0,15106612.0,276.0,7000.0,3800.0,600.0,,7900.0,4500.0
2023-01-03 ,386.87,386.97,385.88,385.99,,76300.0,29464021.0,407.0,23000.0,2900.0,2600.0,5900.0,13200.0,7800.0
2023-01-03 ,,386.1,385.84,386.01,385.962607,,20726192.0,334.0,,4600.0,3800.0,8600.0,7400.0,8000.0
2023-01-03 ,385.7,385.7,384.07,384.51,384.706182,182800.0,70324290.0,951.0,60000.0,17500.0,12900.0,9000.0,25300.0,11400.0
2023-01-03 ,384.51,385.59,384.51,385.26,385.271551,86400.0,33287462.0,403.0,30200.0,5000.0,4800.0,5100.0,5300.0,5300.0
2023-01-03 ,385.08,385.5,385.06,385.49,385.292471,68800.0,26508122.0,340.0,3500.0,21900.0,3400.0,7700.0,4200.0,3100.0
2023-01-03 ,385.5,386.0,,386.0,385.639295,42303.0,16313699.1,217.0,,12700.0,,,2900.0,5300.0
2023-01-03 ,386.0,386.0,385.79,385.79,385.917298,28500.0,10998643.0,183.0,,2300.0,1100.0,6100.0,,
2023-01-03 ,385.83,385.83,385.0,385.0,,57141.0,22017432.8,396.0,15500.0,,5600.0,3100.0,6900.0,6300.0
2023-01-03 ,385.03,385.03,,384.86,384.781022,38456.0,14797139.0,308.0,6300.0,,600.0,4100.0,5100.0,5300.0
2023-01-03 ,384.73,384.94,384.59,384.64,384.748559,45100.0,17352160.0,355.0,3000.0,,3600.0,3300.0,9100.0,6400.0
2023-01-03 ,384.59,384.88,384.59,,384.680679,38300.0,14733270.0,252.0,2000.0,,4400.0,10000.0,3900.0,6500.0
2023-01-03 ,384.67,384.67,384.01,,384.313629,70000.0,26901954.0,456.0,11700.0,,6300.0,6100.0,10400.0,
2023-01-03 ,384.09,385.04,384.0,385.01,384.308601,68600.0,26363570.0,387.0,7800.0,10400.0,4600.0,7400.0,11500.0,11600.0
2023-01-03 ,385.22,,384.25,,385.037513,69600.0,26798610.88,,26496.0,4000.0,2600.0,9500.0,4600.0,9700.0
2023-01-03 ,,386.09,385.03,386.09,385.57867,36100.0,13919390.0,191.0,,5900.0,600.0,7600.0,3200.0,11200.0
2023-01-03 ,,386.6,385.22,385.22,385.923301,62100.0,23965837.0,228.0,28700.0,,1700.0,,6100.0,9200.0
2023-01-03 ,385.33,385.33,384.68,384.73,384.887713,36300.0,13971424.0,204.0,11700.0,,700.0,2100.0,5200.0,3300.0
2023-01-03 ,384.74,384.74,384.11,384.25,384.440085,35500.0,13647623.0,204.0,6400.0,1700.0,3700.0,,3200.0,5100.0
2023-01-03 ,384.25,384.49,384.1,384.49,,41100.0,15788422.0,247.0,5100.0,9800.0,2000.0,,3500.0,4200.0
2023-01-03 ,384.17,384.5,384.08,384.28,384.235391,49900.0,19173346.0,263.0,10400.0,6500.0,2600.0,3600.0,8800.0,4700.0
2023-01-03 ,384.24,384.27,383.5,383.51,383.931772,116800.0,,665.0,23500.0,1900.0,12600.0,,17700.0,10100.0
2023-01-03 ,383.5,383.62,383.5,383.62,383.57426,50000.0,19178713.0,304.0,16500.0,7000.0,1000.0,6000.0,4900.0,3500.0
2023-01-03 ,383.78,383.8,383.33,383.39,383.552673,89800.0,34443030.0,488.0,27700.0,2900.0,3000.0,7300.0,,
2023-01-03 ,383.31,383.32,383.0,383.01,383.125262,68800.0,26359018.0,457.0,5400.0,,,3700.0,15100.0,5000.0
2023-01-03 ,,383.01,382.83,382.87,382.978785,,31212771.0,440.0,21500.0,,4700.0,3700.0,11600.0,7700.0
2023-01-03 ,382.86,382.89,382.81,382.87,382.842471,,18682712.6,329.0,8100.0,6700.0,1000.0,4400.0,7900.0,5220.0
2023-01-03 ,382.87,383.01,382.82,382.94,382.924769,56200.0,,324.0,,9000.0,8600.0,4500.0,7700.0,4400.0
2023-01-03 ,382.99,382.99,382.45,382.45,382.714949,89100.0,34099902.0,615.0,9300.0,1800.0,11700.0,9300.0,19500.0,11000.0
2023-01-03 ,382.29,382.49,382.0,382.05,382.071028,,77713247.0,1113.0,,11700.0,13500.0,8200.0,40700.0,9700.0
2023-01-03 ,382.05,,,382.59,382.316616,65900.0,25194665.0,313.0,,17600.0,1600.0,4600.0,5800.0,5400.0
2023-01-03 ,382.59,383.07,382.58,383.07,382.808189,40300.0,15427170.0,246.0,,4500.0,1600.0,1900.0,,5900.0
2023-01-03 ,383.07,,383.02,383.64,383.16625,,16859315.0,237.0,,20000.0,1700.0,3400.0,3800.0,3900.0
2023-01-03 ,,383.59,383.11,383.41,383.302308,22100.0,8470981.0,160.0,1700.0,,1500.0,1300.0,,5100.0
2023-01-03 ,383.44,383.44,383.0,,383.116164,36500.0,13983740.0,221.0,7700.0,,3000.0,2000.0,4500.0,3300.0
2023-01-03 ,383.16,383.2,383.11,383.2,383.150404,22300.0,8544254.0,146.0,,4100.0,600.0,1800.0,3900.0,3300.0
2023-01-03 ,383.17,383.56,383.17,383.56,383.520452,,22052426.0,211.0,18900.0,42500.0,6400.0,6200.0,4600.0,4200.0
2023-01-03 ,383.78,384.5,383.78,384.44,383.747131,85400.0,,270.0,8000.0,20000.0,,,2800.0,2700.0
2023-01-03 ,384.5,384.78,383.89,384.37,384.412876,,28600318.0,332.0,5500.0,10900.0,8000.0,2100.0,10100.0,6800.0
2023-01-03 ,384.37,385.0,,,384.819885,43600.0,,185.0,,24900.0,1300.0,700.0,4100.0,2800.0
2023-01-03 ,384.99,386.0,384.99,385.8,385.413487,78300.0,30177876.0,240.0,1400.0,54000.0,900.0,5000.0,,2200.0
2023-01-03 ,385.72,385.88,384.8,384.86,385.232272,,15601907.0,246.0,5500.0,,6500.0,2900.0,7700.0,3800.0
2023-01-03 ,384.86,385.7,384.86,385.59,385.258455,24600.0,9477358.0,145.0,,4600.0,2300.0,1500.0,3800.0,4700.0
2023-01-03 ,385.69,387.05,385.68,386.45,386.210834,85100.0,32866542.0,325.0,,53200.0,,1900.0,5500.0,10300.0
2023-01-03 ,385.99,386.45,385.96,386.43,386.188949,44700.0,17262646.0,245.0,,9400.0,,4800.0,4400.0,6800.0
2023-01-03 ,386.45,386.98,386.44,386.94,386.790149,47100.0,18217816.0,266.0,6800.0,,1400.0,6000.0,8200.0,
2023-01-03 ,386.7,386.99,386.7,386.95,386.881502,25300.0,9788102.0,180.0,1900.0,3000.0,,1000.0,4300.0,4500.0
2023-01-03 ,386.99,387.52,386.95,387.52,387.250668,59900.0,23196315.0,248.0,2600.0,,6000.0,1700.0,6400.0,5100.0
2023-01-03 ,387.5,387.52,386.97,387.08,387.228153,31400.0,12158964.0,174.0,4400.0,,,1200.0,3200.0,5300.0
2023-01-03 ,387.0,387.38,386.0,386.0,,76100.0,29433490.0,271.0,29500.0,13700.0,7200.0,5000.0,,12100.0
2023-01-03 ,386.0,386.95,,386.48,386.231481,60100.0,23212512.0,236.0,,7400.0,3700.0,,14200.0,7000.0
2023-01-03 ,386.02,386.94,385.8,386.0,386.151172,62300.0,24057218.0,251.0,,17800.0,4700.0,9500.0,7000.0,
2023-01-03 ,386.22,386.9,385.98,386.9,386.289829,17500.0,6760072.0,92.0,,5000.0,2100.0,,,
2023-01-03 ,386.9,386.9,385.88,386.63,386.216274,47500.0,18345273.0,196.0,,10300.0,3300.0,2300.0,8700.0,4900.0
2023-01-03 ,,386.54,385.96,386.0,386.206453,17200.0,6642751.0,98.0,5000.0,,600.0,1300.0,3000.0,1200.0
2023-01-03 ,386.0,386.02,,385.0,385.564052,23200.0,8945086.0,188.0,1500.0,,,1400.0,8800.0,2600.0
2023-01-03 ,385.0,385.62,384.88,385.37,384.989011,36400.0,14013600.0,203.0,2900.0,7700.0,2200.0,2200.0,3600.0,4700.0
2023-01-03 ,385.37,385.85,385.37,385.85,385.607598,17900.0,,111.0,,2000.0,3000.0,2200.0,3100.0,1100.0
2023-01-03 ,385.85,385.85,385.6,385.69,385.77375,10400.0,4012047.0,,,,,,1600.0,2100.0
2023-01-03 ,385.69,386.03,385.6,,385.772202,27700.0,10685890.0,140.0,1400.0,7500.0,2100.0,5400.0,3000.0,3000.0
2023-01-03 ,385.82,386.86,385.82,386.2,386.287077,28400.0,,134.0,,11800.0,600.0,4800.0,,2500.0
2023-01-03 ,,386.82,386.0,386.57,386.523377,15400.0,5952460.0,121.0,,,1000.0,,3900.0,1100.0
2023-01-03 ,386.27,386.77,386.21,,386.556344,18600.0,,117.0,1600.0,2200.0,1000.0,,,
2023-01-03 ,,386.66,386.58,386.65,386.588732,28400.0,10979120.0,141.0,,8900.0,1700.0,3500.0,2100.0,4600.0
2023-01-03 ,386.61,387.5,386.58,387.45,386.914644,29500.0,11413982.0,162.0,2900.0,7000.0,600.0,3700.0,2500.0,4700.0
2023-01-03 ,387.5,387.5,,386.05,386.884549,24400.0,9439983.0,,1300.0,3500.0,2400.0,1400.0,3300.0,4300.0
2023-01-03 ,386.11,386.11,386.0,386.1,386.037877,20250.0,7817267.0,,3400.0,,2900.0,2000.0,2900.0,4500.0
2023-01-03 ,386.06,386.94,386.01,386.94,386.506429,15400.0,,94.0,,1500.0,600.0,,1800.0,2700.0
2023-01-03 ,386.94,387.0,386.82,387.0,386.987514,17700.0,6849679.0,92.0,1500.0,3500.0,,2600.0,800.0,1800.0
2023-01-03 ,387.24,387.27,386.94,386.94,387.066145,17900.0,6928484.0,113.0,,,700.0,900.0,2400.0,2400.0
2023-01-03 ,,386.93,385.72,385.97,386.291474,28500.0,,167.0,,,4800.0,,7100.0,2100.0
2023-01-03 ,385.72,385.88,385.7,385.8,385.765463,15650.0,6037229.5,105.0,6900.0,,700.0,1550.0,,2800.0
2023-01-03 ,386.4,386.43,385.92,386.42,386.327935,13510.0,5219290.4,73.0,,3400.0,,2100.0,1400.0,2100.0
2023-01-03 ,386.4,387.4,386.4,387.0,386.841911,31400.0,12146836.0,144.0,,9200.0,3200.0,5500.0,2700.0,5100.0
2023-01-03 ,386.67,386.67,385.8,386.0,386.107985,39200.0,15135433.0,139.0,8200.0,8000.0,4300.0,,3300.0,4200.0
2023-01-03 ,386.39,386.91,,386.88,386.650784,105800.0,40907653.0,192.0,51800.0,30000.0,4200.0,,3300.0,3800.0
2023-01-03 ,386.05,386.78,385.92,385.92,386.064685,14300.0,5520725.0,97.0,,,2000.0,,3500.0,800.0
2023-01-03 ,385.88,386.05,385.8,386.05,385.876845,20600.0,7949063.0,100.0,10000.0,6500.0,2600.0,800.0,1900.0,1400.0
2023-01-03 ,386.02,386.05,385.83,386.05,,18200.0,7024767.0,130.0,,,4300.0,1500.0,3300.0,2500.0
2023-01-03 ,385.9,,385.83,385.83,385.965506,17800.0,6870186.0,107.0,,,4200.0,2100.0,3600.0,1800.0
2023-01-03 ,385.83,386.49,385.0,385.16,385.535277,77500.0,29878984.0,335.0,26800.0,4400.0,11300.0,4200.0,14400.0,2700.0
2023-01-03 ,385.15,385.82,385.15,385.4,385.494524,,6476308.0,124.0,,2500.0,2700.0,,,2400.0
2023-01-03 ,385.2,385.73,385.2,,385.332393,23400.0,9016778.0,150.0,1600.0,5000.0,2500.0,600.0,5200.0,1800.0
2023-01-03 ,385.3,385.55,385.23,385.3,385.419007,15100.0,5819827.0,108.0,,2500.0,,600.0,4800.0,1100.0
2023-01-03 ,385.38,385.51,385.0,385.0,385.121097,23700.0,9127370.0,159.0,2700.0,,2600.0,700.0,6400.0,
2023-01-03 ,385.0,385.06,384.86,384.89,384.947458,23600.0,9084760.0,162.0,1500.0,6700.0,3800.0,,3800.0,600.0
2023-01-03 ,384.9,,384.81,385.01,384.905968,24800.0,9545668.0,148.0,,4200.0,2500.0,3500.0,4800.0,
2023-01-03 ,385.01,385.3,385.0,385.3,385.061918,21900.0,8432856.0,,2600.0,2500.0,,3500.0,4000.0,2500.0
2023-01-03 ,385.27,385.3,385.02,385.16,385.173401,34400.0,13249965.0,170.0,2200.0,8700.0,4300.0,2800.0,5900.0,2200.0
2023-01-03 ,385.16,385.4,385.03,385.33,385.199668,21100.0,,122.0,1400.0,,1800.0,800.0,4600.0,2500.0
2023-01-03 ,385.33,385.37,385.1,385.3,385.261092,17400.0,6703543.0,121.0,,3800.0,3600.0,900.0,3100.0,900.0
2023-01-03 ,385.29,385.51,385.29,385.51,385.426702,9400.0,3623011.0,65.0,,,800.0,1100.0,1400.0,2200.0
2023-01-03 ,385.5,385.55,,385.55,385.533125,16000.0,6168530.0,101.0,,2000.0,2900.0,2800.0,1900.0,
2023-01-03 ,385.55,386.0,385.55,385.84,385.731223,22900.0,8833245.0,138.0,,5000.0,3600.0,1000.0,,3600.0
2023-01-03 ,385.85,386.12,385.55,386.02,385.999899,39500.0,15246996.0,127.0,3000.0,,3000.0,3100.0,2400.0,1500.0
2023-01-03 ,,386.53,385.55,386.23,386.179123,45600.0,17609768.0,182.0,3000.0,,5300.0,,6600.0,5600.0
2023-01-03 ,386.52,386.58,386.0,386.39,386.438784,25500.0,9854189.0,185.0,,3500.0,600.0,3200.0,3800.0,6600.0
2023-01-03 ,386.39,387.3,386.36,387.3,386.741966,65100.0,25176902.0,246.0,,29100.0,4200.0,6400.0,6100.0,8400.0
2023-01-03 ,387.14,387.5,387.14,387.5,387.431802,37600.0,14567435.74,182.0,7100.0,6800.0,600.0,2200.0,4500.0,4318.0
2023-01-03 ,387.33,387.53,386.43,387.53,387.238072,28336.0,10972778.0,161.0,1400.0,9000.0,1000.0,600.0,4400.0,5300.0
2023-01-03 ,387.41,,387.41,387.48,387.544818,14850.0,5755040.54,107.0,,,700.0,1900.0,3200.0,2000.0
2023-01-03 ,387.47,387.93,387.47,387.93,387.742853,,18553495.5,169.0,,40250.0,900.0,1900.0,2300.0,2500.0
2023-01-03 ,387.93,387.93,387.31,387.5,387.669017,34984.0,13562212.9,166.0,10266.0,2400.0,,3134.0,3800.0,4600.0
2023-01-03 ,387.8,,385.8,385.8,387.385045,95500.0,36995271.76,,27400.0,6900.0,9100.0,6500.0,17200.0,6800.0
2023-01-03 ,385.8,386.62,385.67,,386.057919,39400.0,15210682.0,223.0,,7200.0,3700.0,5600.0,7900.0,3800.0
2023-01-03 ,385.86,386.06,385.55,386.0,385.855603,25700.0,9916489.0,143.0,,4200.0,1000.0,1600.0,2100.0,2900.0
2023-01-03 ,386.02,386.66,386.0,,386.414586,13300.0,5139314.0,87.0,,1500.0,800.0,2400.0,1600.0,
2023-01-03 ,386.9,386.9,386.6,386.6,386.716899,15800.0,,120.0,4600.0,1400.0,,1000.0,2300.0,1900.0
2023-01-03 ,386.52,386.87,386.12,386.12,386.559398,24900.0,9625329.0,154.0,3800.0,1300.0,2600.0,,6000.0,4800.0
2023-01-03 ,386.49,386.88,386.44,386.64,386.641475,18300.0,7075539.0,146.0,,,,2600.0,2000.0,5700.0
2023-01-03 ,386.63,386.66,386.0,386.01,,44400.0,17148247.0,236.0,7600.0,10400.0,4000.0,900.0,,5000.0
2023-01-03 ,386.05,387.5,386.05,,,19100.0,7387250.0,117.0,,,,2700.0,800.0,1100.0
2023-01-03 ,387.43,387.8,,387.57,,,12090769.0,176.0,1500.0,6000.0,2800.0,5900.0,2600.0,5100.0
2023-01-03 ,387.57,388.0,387.42,388.0,387.91087,74700.0,28976942.0,260.0,2600.0,53600.0,,4800.0,3400.0,7400.0
2023-01-03 ,388.05,389.47,388.05,389.38,388.777915,87122.0,33871109.48,393.0,,21100.0,,1600.0,4300.0,13541.0
2023-01-03 ,389.32,389.32,388.06,388.94,,40978.0,15931980.6,233.0,16000.0,,2100.0,2100.0,7300.0,9400.0
2023-01-03 ,388.79,389.1,388.79,389.04,388.974252,24062.0,9359498.46,175.0,3138.0,,2100.0,2700.0,3700.0,3000.0
2023-01-03 ,388.92,389.3,388.92,389.29,,,11344519.84,161.0,,7200.0,700.0,,2843.0,5000.0
2023-01-03 ,389.29,389.94,389.29,389.94,,31400.0,12232100.0,184.0,,3300.0,1800.0,5800.0,5200.0,
2023-01-03 ,389.94,390.51,389.94,390.0,390.178593,87400.0,34101609.0,424.0,8100.0,29600.0,4300.0,3200.0,5200.0,14700.0
2023-01-03 ,390.0,390.15,389.35,389.58,389.645556,35100.0,13676559.0,206.0,11600.0,3100.0,3700.0,1300.0,5500.0,5400.0
2023-01-03 ,389.3,389.42,389.0,389.19,389.244372,23100.0,8991545.0,141.0,,2900.0,1500.0,1400.0,,5222.0
2023-01-03 ,389.22,389.3,389.01,389.12,389.166983,18650.0,7257964.24,144.0,,,1700.0,4700.0,4050.0,3178.0
2023-01-03 ,389.1,389.4,389.1,389.38,389.187342,,7686450.0,117.0,5850.0,1800.0,,1500.0,2400.0,
2023-01-03 ,389.39,389.5,388.98,389.01,389.291089,30300.0,11795520.0,192.0,,,2900.0,1400.0,7700.0,4200.0
2023-01-03 ,389.01,,388.55,388.66,388.831671,40100.0,15592150.0,206.0,17700.0,,,5700.0,,3700.0
2023-01-03 ,388.55,388.72,388.33,388.39,388.501975,15700.0,6099481.0,120.0,1500.0,,1700.0,2000.0,2100.0,3300.0
2023-01-03 ,388.3,388.39,388.2,,388.2835,20000.0,7765670.0,,1400.0,2800.0,1700.0,1000.0,2200.0,3800.0
2023-01-03 ,388.4,388.69,388.21,388.69,388.360359,14339.0,5568699.19,117.0,,1700.0,,2100.0,3100.0,2300.0
2023-01-03 ,388.7,389.06,388.5,389.03,388.875157,25400.0,9877429.0,144.0,,10000.0,600.0,600.0,5400.0,3500.0
